label,group,condition,item_num,type,list,message_html,maze_s,maze_a,question
Group_1_Condition_4_S01,1,4,1,experiment,4,峰峰和磊磊想给小陈带一杯饮料。峰峰：小陈说了什么？磊磊：____________________。<br>  <br>点击下方链接开始造句。,"小陈 说 她 想喝 咖啡 来着 ,我们 买一杯。",x-x-x 个 三 定局 看清 烟火 x-x-x 消防栓。,小陈想喝咖啡。
Group_1_Condition_3_S02,1,3,2,experiment,4,琳琳和彤彤想送只宠物给张华。琳琳：张华喜欢小狗吗？彤彤：____________________。<br>  <br>点击下方链接开始造句。,"张华 说 他 喜欢 小猫 来着 ,我们 等会 去看。",x-x-x 汁 岁 根号 透明 与其 x-x-x 菱形 拟人。,张华喜欢小猫。
Group_1_Condition_2_S03,1,2,3,experiment,4,芬芬爸爸和妈妈在讨论今晚的晚餐。爸爸：芬芬今晚想吃大虾吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芬芬 说 她 想吃 大虾 来着 ,今天 大虾 新鲜。",x-x-x 条 位 完事 勇气 啦啦 x-x-x 比喻 键盘。,芬芬想吃大虾。
Group_1_Condition_1_S04,1,1,4,experiment,4,老师和学长在讨论小明的社团。老师：小明是想喜欢网球还是足球社？学长：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 喜欢 网球 来着 ,等会 他 会报名。",x-x-x 件 首 名词 抠门 噗嗤 x-x-x 了 逆命题。,小明喜欢足球。
Group_2_Condition_4_S01,2,4,1,experiment,4,两位秘书在讨论老板的行程。秘书A：今早会议老板说了什么？秘书B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 想坐 高铁 来着 ,我们 帮他 订票。",x-x-x 块 串 得令 空气 拔河 x-x-x 啤酒 奶油。,老板想坐高铁。
Group_2_Condition_3_S02,2,3,2,experiment,4,老师和班长在讨论小李的选修课。老师：小李这学期会选物理吗？班长：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 她 会选 数学 来着 ,他 热爱 数学。",x-x-x 根 件 成败 呼吸 哧溜 x-x-x 森林 光临。,小李想选物理。
Group_2_Condition_2_S03,2,2,3,experiment,4,爸爸和妈妈想给妹妹报兴趣班。妈妈：妹妹想学钢琴吗？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想学 钢琴 来着 ,因为 小提琴 很难。",x-x-x 颗 张 法令 彻底 苔藓 x-x-x 含羞草 屋顶。,妹妹想学钢琴。
Group_2_Condition_1_S04,2,1,4,experiment,4,兰兰和峰峰想买点水果给小彭。兰兰：小彭爱吃苹果还是芒果？峰峰：____________________。<br>  <br>点击下方链接开始造句。,"小彭 说 他 想吃 苹果 来着 ,因为 苹果 很脆。",x-x-x 粒 架 作罢 剧情 咔嚓 x-x-x 师傅 法师。,小彭想吃芒果。
Group_3_Condition_4_S01,3,4,1,experiment,4,爸爸和妈妈在讨论给小彤的生日礼物。爸爸：小彤今早说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小彤 说 她 想要 相机 来着 ,因为 想学 摄影。",x-x-x 片 辆 句式 体现 喷嚏 x-x-x 公式 圆圈。,小彤想要相机。
Group_3_Condition_3_S02,3,3,2,experiment,4,教练和领队在讨论小张的训练计划。教练：小张想学游泳吗？领队：____________________。<br>  <br>点击下方链接开始造句。,"小张 说 他 想学 长跑 来着 ,因为 喜欢 跑步。",x-x-x 勺 栋 头发 继续 朵朵 x-x-x 嫦娥 液体。,小张想学长跑。
