label,group,condition,item_num,type,list,message_html,maze_s,maze_a,question
Group_1_Condition_2_S01,1,2,1,experiment,2,峰峰和磊磊想给小陈带一杯饮料。峰峰：小陈想喝咖啡吗？磊磊：____________________。<br>  <br>点击下方链接开始造句。,"小陈 说 她 想喝 咖啡 来着 ,我们 买一杯。",x-x-x 个 三 定局 看清 烟火 x-x-x 消防栓。,小陈想喝咖啡。
Group_1_Condition_1_S02,1,1,2,experiment,2,琳琳和彤彤想送只宠物给张华。琳琳：张华是喜欢小猫还是小狗？彤彤：____________________。<br>  <br>点击下方链接开始造句。,"张华 说 他 喜欢 小猫 来着 ,我们 等会 去看。",x-x-x 汁 岁 根号 透明 与其 x-x-x 菱形 拟人。,张华喜欢小猫。
Group_1_Condition_4_S03,1,4,3,experiment,2,芬芬爸爸和妈妈在讨论今晚的晚餐。爸爸：芬芬昨晚说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芬芬 说 她 想吃 大虾 来着 ,今天 大虾 新鲜。",x-x-x 条 位 完事 勇气 啦啦 x-x-x 比喻 键盘。,芬芬想吃大虾。
Group_1_Condition_3_S04,1,3,4,experiment,2,老师和学长在讨论小明的社团。老师：小明会喜欢足球社吗？学长：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 喜欢 网球 来着 ,等会 他 会报名。",x-x-x 件 首 名词 抠门 噗嗤 x-x-x 了 逆命题。,小明喜欢足球。
Group_2_Condition_2_S01,2,2,1,experiment,2,两位秘书在讨论老板的行程。秘书A：老板是出差想坐高铁吗？秘书B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 想坐 高铁 来着 ,我们 帮他 订票。",x-x-x 块 串 得令 空气 拔河 x-x-x 啤酒 奶油。,老板想坐高铁。
Group_2_Condition_1_S02,2,1,2,experiment,2,老师和班长在讨论小李的选修课。老师：小李会选修数学还是物理？班长：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 她 会选 数学 来着 ,他 热爱 数学。",x-x-x 根 件 成败 呼吸 哧溜 x-x-x 森林 光临。,小李想选物理。
Group_2_Condition_4_S03,2,4,3,experiment,2,爸爸和妈妈想给妹妹报兴趣班。妈妈：妹妹昨晚跟你说了什么？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想学 钢琴 来着 ,因为 小提琴 很难。",x-x-x 颗 张 法令 彻底 苔藓 x-x-x 含羞草 屋顶。,妹妹想学钢琴。
Group_2_Condition_3_S04,2,3,4,experiment,2,兰兰和峰峰想买点水果给小彭。兰兰：小彭爱吃芒果吗？峰峰：____________________。<br>  <br>点击下方链接开始造句。,"小彭 说 他 想吃 苹果 来着 ,因为 苹果 很脆。",x-x-x 粒 架 作罢 剧情 咔嚓 x-x-x 师傅 法师。,小彭想吃芒果。
Group_3_Condition_2_S01,3,2,1,experiment,2,爸爸和妈妈在讨论给小彤的生日礼物。爸爸：小彤想要相机吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小彤 说 她 想要 相机 来着 ,因为 想学 摄影。",x-x-x 片 辆 句式 体现 喷嚏 x-x-x 公式 圆圈。,小彤想要相机。
Group_3_Condition_1_S02,3,1,2,experiment,2,教练和领队在讨论小张的训练计划。教练：小张是想学长跑还是游泳？领队：____________________。<br>  <br>点击下方链接开始造句。,"小张 说 他 想学 长跑 来着 ,因为 喜欢 跑步。",x-x-x 勺 栋 头发 继续 朵朵 x-x-x 嫦娥 液体。,小张想学长跑。
Group_3_Condition_4_S03,3,4,3,experiment,2,爸爸和妈妈想给森森报外语兴趣班。爸爸：森森昨晚说了什么吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"森森 说 她 想学 法语 来着 ,因为 喜欢 法国。",x-x-x 桌 次 公交 沙漠 下雨 x-x-x 小乔 如何。,森森想学德语。
Group_3_Condition_3_S04,3,3,4,experiment,2,摊主和熟客在讨论孩子的口味。摊主：你家孩子爱吃芹菜吗？熟客：____________________。<br>  <br>点击下方链接开始造句。,"孩子 说 他 想吃 菠菜 来着 ,因为 营养 丰富。",x-x-x 椅 此 月亮 彩虹 颗粒 x-x-x 三国 大鹅。,孩子想吃菠菜。
Group_4_Condition_2_S01,4,2,1,experiment,2,爸爸和妈妈想给笑笑报美术兴趣班。爸爸：笑笑想学油画吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"笑笑 说 她 想学 油画 来着 ,因为 色彩 丰富。",x-x-x 辆 呵 山峰 莲藕 丑陋 x-x-x 哪吒 皮肤。,笑笑想学素描。
Group_4_Condition_1_S02,4,1,2,experiment,2,设计师在向助手确认业主的方案。设计师：业主是喜欢中式还是欧式？助手：____________________。<br>  <br>点击下方链接开始造句。,"业主 说 他 喜欢 中式 来着 ,因为 简洁 大方。",x-x-x 艘 种 呵呵 身边 喉咙 x-x-x 埃及 奇数。,业主喜欢中式装修。
Group_4_Condition_4_S03,4,4,3,experiment,2,文文和欣欣准备给小娟买点水果。文文：小娟说了什么吗？欣欣：____________________。<br>  <br>点击下方链接开始造句。,"小娟 说 她 爱吃 苹果 来着 ,因为 清甜 可口。",x-x-x 串 杯 琴弦 高峰 虚伪 x-x-x 妲己 射手。,小娟爱吃香蕉。
Group_4_Condition_3_S04,4,3,4,experiment,2,师姐和师妹想给老师买束鲜花。师妹：老师喜欢月季吗？师姐：____________________。<br>  <br>点击下方链接开始造句。,"老师 说 她 喜欢 玫瑰 来着 ,因为 非常 浪漫。",x-x-x 碟 支 破损 章节 虚浮 x-x-x 李白 眉毛。,老师喜欢月季。
Group_1_Condition_2_S05,1,2,5,experiment,2,浩浩和阳阳想给妹妹带一份甜品。浩浩：妹妹爱吃蛋糕吗？阳阳：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想吃 蛋糕 来着 ,很久 没 吃了。",x-x-x 把 朵 雕刻 计较 饺子 x-x-x 呵 吧唧。,妹妹想吃蛋糕。
Group_1_Condition_1_S06,1,1,6,experiment,2,两位员工想给老板买一份茶叶。员工A：老板是喜欢红茶还是绿茶？员工B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 喜欢 红茶 来着 ,叫 我们 带一些。",x-x-x 丛 块 碗筷 确实 浮华 x-x-x 皇后。 出租车。,老板喜欢绿茶。
Group_1_Condition_4_S07,1,4,7,experiment,2,爸爸和妈妈想给弟弟买一件衬衫。爸爸：弟弟打电话说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 喜欢 蓝色 来着 ,因为 灰色 显黑。",x-x-x 束 件 僵尸 无力 猴子 x-x-x 刺耳 面包。,弟弟喜欢灰色。
Group_1_Condition_3_S08,1,3,8,experiment,2,暑假爸爸和妈妈想带小李出去旅游。爸爸：小李会想去四川玩吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 他 想去 新疆 来着 ,因为 想吃 羊肉。",x-x-x 朵 双 指南 渠道 纷飞 x-x-x 条目 您说。,小李想去新疆。
Group_2_Condition_2_S05,2,2,5,experiment,2,姐姐和哥哥想给弟弟买玩具。姐姐：弟弟是想要积木吗？哥哥：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 想要 拼图 来着 ,叫 我们 带一个。",x-x-x 张 片 科学 分子 牛奶 x-x-x 火箭 而且。,弟弟想要积木。
Group_2_Condition_1_S06,2,1,6,experiment,2,乐乐和笑笑想带约翰逛北京。乐乐：约翰是想去故宫还是长城？笑笑：____________________。<br>  <br>点击下方链接开始造句。,"约翰 说 他 想去 故宫 来着 ,因为 喜欢 建筑。",x-x-x 篇 朵 账单 人头 课本 x-x-x 问卷 恋爱。,约翰想去故宫。
Group_2_Condition_4_S07,2,4,7,experiment,2,爷爷想给小华寄一些自种蔬菜。爷爷：小华刚刚打电话来说什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小华 说 他 想吃 番茄 来着 ,等会 寄一些 回去。",x-x-x 首 头 火焰 还是 水流 x-x-x 原子弹 墨子。,小华想吃萝卜。
Group_2_Condition_3_S08,2,3,8,experiment,2,奶奶想买点零食给小明。奶奶：小明想吃红薯吗？爷爷：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 想吃 核桃 来着 ,等会 买 多一些。",x-x-x 册 颗 居民 羡慕 扑通 x-x-x 咚 出租车。,小明想吃红薯。
Group_3_Condition_2_S05,3,2,5,experiment,2,妈妈和爸爸在准备小刚明天的早点。妈妈：小刚明早想吃面条吗？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"小刚 说 他 想吃 面条 来着 ,热乎乎 ,很满足。",x-x-x 副 根 窗户 后果 琵琶 x-x-x 洗衣液。,小刚想吃面条。
Group_3_Condition_1_S06,3,1,6,experiment,2,爸爸和妈妈在为蕾蕾的派对准备食材。爸爸：蕾蕾说是想吃汉堡还是披萨？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"蕾蕾 说 她 想吃 汉堡 来着 ,很久 没 吃了。",x-x-x 幅 台 帽子 水平 瓷器 x-x-x 嗯 蛋白。,蕾蕾想吃汉堡。
